avg_total_compensation,avg_base_salary,avg_ot_paid,payroll_record_count,title
104653.0527641196,82499.56677740863,20408.066325581396,1505,SUPERVISING EMERGENCY MEDICAL SERVICE SPECIALIST
104650.17171232877,88136.36301369863,22812.749383561644,146,SUPERVISOR OF ELECTRICAL INSTALLATIONS & MAINTENANCE
103106.89206666667,114894.43333333333,2777.6033666666667,300,CIVIL ENGINEER
102757.60713697219,104113.8990731205,3891.526282183316,971,ASSOCIATE PROJECT MANAGER
102487.68344484629,94676.77034358047,9661.282188065099,1106,CHILD PROTECTIVE SPECIALIST SUPERVISOR
102483.16697991146,77171.00204290092,16024.662876404494,14685,SANITATION WORKER
102210.41566814073,111081.1622764853,0.0,5201,SCHOOL SOCIAL WORKER
100020.02090588235,110772.8294117647,0.0,850,TEACHER ATTENDANCE
99971.52846994536,112258.09836065574,546.6581420765027,183,HEALTH SERVICES MANAGER NON MANAGERIAL LEVEL I
99947.8841509434,76146.9182389937,24769.466352201256,159,ADMINISTRATIVE ASSOCIATE
98486.59921678992,108650.21056650006,0.0,112639,TEACHER
98445.90003787879,97269.22727272728,4404.168901515151,264,SCHOOL BUSINESS MANAGER
98318.2818018018,111214.72072072072,2988.1063963963966,111,IT SERVICE MANAGEMENT SPECIALIST
98249.96047619048,114433.23809523809,3024.171619047619,105,IT AUTOMATION AND MONITORING ENGINEER
97736.92661097852,131113.51047732696,0.0,419,SPECIAL ASSISTANT
97563.46295238094,104483.3619047619,6568.572666666667,105,INTELLIGENCE RESEARCH SPECIALIST-PD
97469.93344506518,86369.91868404718,2001.750732464308,1611,PHYSICAL THERAPIST
97366.38952177016,73550.7773019272,23128.596959314775,1401,ASSOCIATE BENEFITS OPPORTUNITY SPECIALIST
97273.9488265306,106939.41836734694,2164.964897959184,196,ADMINISTRATIVE CONTRACT SPECIALIST
97041.95259259258,88634.25925925926,16638.838296296297,135,PRINCIPAL POLICE COMMUNICATION TECHNICIAN
96970.61200241254,97151.1212907117,3548.8403950542825,3316,ADM MANAGER-NON-MGRL
96863.95988212181,102080.95701375246,3929.648025540275,1018,ADMIN COMMUNITY RELATIONS SPECIALIST
96680.21885604113,104209.71979434448,0.0,778,HIGHER EDUCATION ASSOCIATE
